cust_id,cust_price_sensitivity,cust_lifestage
CUST0000000013,MM,YF
CUST0000000055,LA,YA
CUST0000000679,MM,OT
CUST0000001052,UM,PE
CUST0000001058,UM,OT
CUST0000001098,LA,YA
CUST0000001148,UM,YA
CUST0000001392,LA,OT
CUST0000001400,MM,OT
CUST0000001437,MM,OA
CUST0000001480,MM,
CUST0000001962,MM,OT
CUST0000002218,LA,PE
CUST0000002245,MM,OT
CUST0000002623,UM,OT
CUST0000002678,LA,OT
CUST0000003190,UM,OA
CUST0000003347,MM,OA
CUST0000003447,MM,OT
CUST0000003603,XX,PE
CUST0000004239,LA,OT
CUST0000004287,UM,OT
CUST0000004457,LA,YF
CUST0000004696,MM,OT
CUST0000004825,LA,
CUST0000005053,MM,
CUST0000005388,MM,YA
CUST0000005739,MM,YA
CUST0000005874,LA,OA
CUST0000006239,MM,OT
CUST0000006394,LA,YA
CUST0000006445,UM,YA
CUST0000006976,LA,
CUST0000007046,MM,YA
CUST0000007540,XX,OT
CUST0000007634,XX,OA
CUST0000007988,LA,OF
CUST0000008112,XX,OT
CUST0000008206,UM,OT
CUST0000008235,LA,OT
CUST0000008483,UM,OA
CUST0000008640,MM,OT
CUST0000008716,MM,OT
CUST0000008879,LA,OT
CUST0000008910,MM,YA
CUST0000009422,UM,PE
CUST0000009537,UM,
CUST0000009737,MM,OA
CUST0000009875,XX,OT
CUST0000010288,MM,OT
CUST0000010509,MM,OF
CUST0000010532,MM,OA
CUST0000010712,LA,OF
CUST0000010805,MM,OT
CUST0000010921,MM,YA
CUST0000010950,UM,OA
CUST0000011068,LA,PE
CUST0000011182,MM,OT
CUST0000011232,UM,YA
CUST0000011546,LA,
CUST0000011647,UM,YF
CUST0000011873,UM,OT
CUST0000012055,MM,OT
CUST0000012241,LA,OT
CUST0000012357,UM,YF
CUST0000012470,MM,OA
CUST0000012535,LA,OT
CUST0000013075,UM,YF
CUST0000013461,LA,OT
CUST0000013530,LA,YA
CUST0000013675,XX,OT
CUST0000013725,UM,OT
CUST0000014241,UM,OT
CUST0000014549,LA,OA
CUST0000014840,LA,YF
CUST0000014855,UM,OA
CUST0000014942,UM,
CUST0000014944,XX,OT
CUST0000015147,XX,OT
CUST0000015843,MM,YA
CUST0000015949,UM,OA
CUST0000015976,LA,OA
CUST0000016087,UM,OF
CUST0000016305,MM,YF
CUST0000016376,UM,OT
CUST0000016975,LA,OT
CUST0000017060,MM,YA
CUST0000017071,XX,OT
CUST0000017220,LA,OT
CUST0000017545,MM,OA
CUST0000017681,XX,
CUST0000017968,UM,OT
CUST0000018190,UM,OA
CUST0000018390,LA,OT
CUST0000018482,XX,OT
CUST0000018545,UM,YA
CUST0000018583,MM,OT
CUST0000018830,MM,PE
CUST0000018911,LA,
CUST0000018943,MM,OT
CUST0000019017,XX,OT
